"b","xL","x_kappa","x_lambda","xU","converged","message"
-1.33,-1.0719171870974,-0.122685796057116,0.543080761640602,1.2715180924251,TRUE,"Function criterion near zero"
-1.32,-1.07818093428001,-0.13067604450332,0.535217290640397,1.26530116522541,TRUE,"Function criterion near zero"
-1.31,-1.08445797168842,-0.138666324208147,0.527354453614501,1.25909798597649,TRUE,"Function criterion near zero"
-1.3,-1.09074807000152,-0.146656497180552,0.519492390571519,1.2529087607499,TRUE,"Function criterion near zero"
-1.29,-1.09705100065068,-0.15464642565533,0.511631241289024,1.24673369559076,TRUE,"Function criterion near zero"
-1.28,-1.10336653583363,-0.162635972099243,0.503771145307217,1.24057299649772,TRUE,"Function criterion near zero"
-1.27,-1.10969444852781,-0.170624999217108,0.495912241922664,1.23442686940243,TRUE,"Function criterion near zero"
-1.26,-1.11603451250318,-0.178613369957904,0.488054670182002,1.22829552014848,TRUE,"Function criterion near zero"
-1.25,-1.12238650233461,-0.186600947520839,0.48019856887567,1.22217915446973,TRUE,"Function criterion near zero"
-1.24,-1.12875019341373,-0.194587595361478,0.472344076531585,1.21607797796819,TRUE,"Function criterion near zero"
-1.23,-1.13512536196035,-0.202573177197817,0.464491331408864,1.20999219609118,TRUE,"Function criterion near zero"
-1.22,-1.1415117850335,-0.210557557016412,0.456640471491473,1.20392201410797,TRUE,"Function criterion near zero"
-1.21,-1.14790924054199,-0.218540599078491,0.448791634481924,1.19786763708586,TRUE,"Function criterion near zero"
-1.2,-1.15431750725462,-0.226522167926143,0.440944957794823,1.19182926986546,TRUE,"Function criterion near zero"
-1.19,-1.16073636481,-0.23450212838846,0.433100578550553,1.18580711703558,TRUE,"Function criterion near zero"
-1.18,-1.16716559372603,-0.242480345587781,0.425258633568736,1.17980138290721,TRUE,"Function criterion near zero"
-1.17,-1.17360497540903,-0.250456684945922,0.417419259361799,1.17381227148704,TRUE,"Function criterion near zero"
-1.16,-1.18005429216256,-0.258431012190495,0.409582592128405,1.16783998645018,TRUE,"Function criterion near zero"
-1.15,-1.1865133271959,-0.266403193361206,0.401748767746883,1.16188473111221,TRUE,"Function criterion near zero"
-1.14,-1.19298186463233,-0.274373094816284,0.393917921768539,1.15594670840057,TRUE,"Function criterion near zero"
-1.13,-1.19945968951701,-0.282340583238907,0.386090189410978,1.15002612082518,TRUE,"Function criterion near zero"
-1.12,-1.20594658782474,-0.290305525643693,0.378265705551306,1.14412317044835,TRUE,"Function criterion near zero"
-1.11,-1.21244234646739,-0.298267789383301,0.370444604719267,1.13823805885395,TRUE,"Function criterion near zero"
-1.1,-1.21894675330112,-0.306227242155035,0.362627021090335,1.13237098711585,TRUE,"Function criterion near zero"
-1.09,-1.22545959713343,-0.314183752007556,0.3548130884787,1.12652215576551,TRUE,"Function criterion near zero"
-1.08,-1.23198066772994,-0.322137187347677,0.347002940330164,1.12069176475894,TRUE,"Function criterion near zero"
-1.07,-1.23850975582111,-0.33008741694722,0.33919670971497,1.11488001344275,TRUE,"Function criterion near zero"
